model,time,max,99th,95th ,90th ,median,mean,gmean,dataset
naru,24.43695721626282 ms/query,231,4,2.41721491228069,2,1.1,1.3612427063018,1.25376034725767,census13
mscn,0.20800654888153075 ms/query,78,11.8575714285714,5.7063025210084,3.9018918918919,1.20817801273548,2.05609525263012,1.58829371073506,census13
lw-nn,0.12952790260314942 ms/query ,1372,58,14.3751024590164,8,1.86667660801273,5.5631999978286,2.37115593701869,census13
lw-tree,0.2766007900238037 ms/query,1880,21,8.25001046025105,5.64285714285714,1.66666666666667,3.47637276554549,2.05191810655897,census13
deepdb,7.68766176700592 ms/query,595,7,3.5,2.5,1.08805214959984,1.72152507863165,1.34254174726054,census13
